para_indx,stability,freq,A1,A2,B1,B2
544,2,999,1408,97,96,745
544,2,1,5005,4908,2,2
546,2,410,0,0,590,590
546,2,590,590,590,0,0
548,2,773,574,35,35,550
548,2,227,606,606,7,7
556,2,300,1,1,2398,2398
556,2,700,2398,2398,1,1
557,2,999,1,1,2134,2134
557,2,1,2131,2128,1,1
562,2,24,1,1,3400,3400
562,2,976,3400,3400,1,1
564,2,937,0,0,291,290
564,2,63,290,289,0,0
566,2,1,9,9,5256,5935
566,2,999,356,245,242,261
568,2,999,0,0,824,817
568,2,1,817,807,1,1
573,2,339,135,457,941,105
573,2,661,3941,3930,3,2
574,2,291,0,0,564,564
574,2,709,564,564,0,0
579,2,786,0,0,1349,1349
579,2,214,1349,1349,0,0
580,2,136,1,1,217,217
580,2,864,217,217,1,1
581,2,336,0,0,1540,1540
581,2,664,1540,1540,0,0
583,2,944,0,0,106,87
583,2,56,98,101,1,0
590,2,1,1,1,2551,2551
590,2,999,2551,2551,1,1
592,2,25,1,1,3462,3462
592,2,975,3462,3462,1,1
597,2,446,3985,72,71,304
597,2,554,5929,347,39,72
598,2,394,77,56,1116,1504
598,2,606,836,90,98,871
599,2,3,2,2,1432,1434
599,2,997,231,174,166,178
600,2,344,4,4,6243,6243
600,2,656,385,74,74,998
601,2,908,1,1,770,778
601,2,92,774,779,1,2
605,2,420,0,0,1130,1129
605,2,580,1128,1125,0,0
607,2,999,3,3,514,514
607,2,1,514,506,3,3
610,2,4,12,12,8350,8551
610,2,996,1083,119,119,1205
611,2,311,0,0,1377,1381
611,2,689,1382,1380,0,0
613,2,901,0,0,1375,1375
613,2,99,1375,1375,0,0
614,2,689,0,0,1505,1508
614,2,311,1507,1509,0,0
615,2,516,0,0,1489,1489
615,2,484,1489,1489,0,0
619,2,590,0,0,1029,1029
619,2,410,1029,1029,0,0
621,2,405,0,0,1353,1353
621,2,595,1353,1353,0,0
623,2,525,1,1,382,382
623,2,475,382,382,1,1
624,2,563,2,2,1271,1271
624,2,437,1271,1271,2,2
633,2,342,0,0,1818,1818
633,2,658,1818,1818,0,0
634,2,261,0,0,711,706
634,2,739,712,712,0,0
637,2,391,7,7,4261,4261
637,2,609,1358,85,86,919
638,2,40,1,1,5173,5173
638,2,960,64,3440,2517,64
641,2,106,83,107,2775,1364
641,2,894,102,2396,1735,104
647,2,465,1,1,2566,2562
647,2,535,69,353,1513,89
648,2,7,1,1,701,717
648,2,993,718,714,0,0
650,2,727,0,0,1221,1221
650,2,273,1221,1221,0,0
651,2,406,0,0,830,830
651,2,594,830,830,0,0
652,2,750,0,0,1054,1054
652,2,250,1054,1054,0,0
662,2,966,0,0,370,370
662,2,34,370,370,0,0
664,2,2,6,6,5759,5775
664,2,998,301,188,188,475
669,2,184,0,0,1423,1425
669,2,816,1427,1423,0,0
673,2,16,1,1,2067,2067
673,2,984,135,97,127,567
677,2,241,3,3,509,509
677,2,759,509,509,3,3
679,2,147,0,0,1073,1073
679,2,853,1073,1073,0,0
680,2,906,1,1,1934,1934
680,2,94,1934,1934,1,1
681,2,432,62,917,894,46
